Region Name, Total Migrants, #1 Migrant Sending Region, #1 Migrant Sending Total, #2 Migrant Sending Region, #2 Migrant Sending Total, #3 Migrant Sending Region, #3 Migrant Sending Region 
Estonia, 381997, Russian Federation, 283457,Ukraine, 43063,Belarus, 23870
Finland, 63255, Sweden, 26043,Russian Federation, 10252,Germany, 2586
Iceland, 9584, Denmark, 2048,United States of America, 1077,Sweden, 1012
Ireland, 227961, United Kingdom of Great Britain and Northern Ireland, 184671,United States of America, 15922,Germany, 3341
Latvia, 646007, Russian Federation, 473207,Belarus, 60530,Ukraine, 46572
Lithuania, 349258, Russian Federation, 158448,Belarus, 80249,Ukraine, 43228
Norway, 192587, Denmark, 21160,Sweden, 20429,United States of America, 15827
Sweden, 788767, Finland, 153578,Other North, 68302,Bosnia and Herzegovina, 40488
Albania, 66013, Greece, 40087,Italy, 11287,Other North, 5869
Bosnia and Herzegovina, 56000, Croatia, 21218,Serbia, 16974,Slovakia, 4681
Croatia, 475438, Bosnia and Herzegovina, 312821,Other North, 77858,Slovenia, 29943
Greece, 618139, Albania, 63963,Cyprus, 45588,United States of America, 43336
Italy, 1428219, Morocco, 169285,Germany, 96165,The former Yugoslav Republic of Macedonia, 72688
Portugal, 435782, Angola, 141573,Mozambique, 74609,France, 58434
Serbia, 99269, Bosnia and Herzegovina, 42141,Croatia, 35548,Montenegro, 9511
Spain, 821605, Morocco, 133341,France, 100111,Germany, 80772
Austria, 793239, Serbia, 107506,Germany, 100832,Bosnia and Herzegovina, 92349
Belgium, 891537, Italy, 242108,Morocco, 135422,France, 90212
France, 5897267, Algeria, 788914,Portugal, 781382,Morocco, 713987
Germany, 5936181, Turkey, 1586121,Italy, 486516,Serbia, 428334
Netherlands, 1182263, Indonesia, 186717,Suriname, 156211,Turkey, 140494
Switzerland, 1392282, Italy, 208147,Other North, 173541,Germany, 161440
Bahamas, 26855, Haiti, 10894,United States of America, 4247,Jamaica, 2792
Barbados, 24024, Saint Vincent and the Grenadines, 3676,Saint Lucia, 3317,Other South, 2997
Dominica, 2519, Haiti, 561,Other South, 389,United Kingdom of Great Britain and Northern Ireland, 230
Dominican Republic, 291151, Haiti, 187210,venezuela, 14235,United States of America, 9115
Haiti, 19084, venezuela, 2510,Dominican Republic, 2406,United States of America, 1607
Jamaica, 20475, United Kingdom of Great Britain and Northern Ireland, 5469,United States of America, 4575,Other South, 2130
Trinidad and Tobago, 50666, Grenada, 16589,Saint Vincent and the Grenadines, 11629,Guyana, 5140
Belize, 30404, Guatemala, 12650,El Salvador, 6691,Mexico, 3025
Costa Rica, 417628, Other South, 207798,Nicaragua, 99153,El Salvador, 56257
El Salvador, 47360, Honduras, 15774,Guatemala, 8235,United States of America, 8033
Guatemala, 264257, El Salvador, 236655,United States of America, 5822,Mexico, 5402
Honduras, 270423, Nicaragua, 142802,El Salvador, 114810,Guatemala, 3250
Mexico, 695674, El Salvador, 301106,United States of America, 198230,Guatemala, 72343
Panama, 62744, Colombia, 13968,China, 10235,Nicaragua, 4553
Argentina, 1649919, Italy, 336040,Paraguay, 257243,Spain, 229535
Brazil, 798517, Portugal, 274924,Japan, 86768,Italy, 70081
Chile, 107501, Argentina, 32696,Spain, 9710,Bolivia (Plurinational State of), 7277
Colombia, 104277, venezuela, 33123,United States of America, 13478,Ecuador, 11870
Ecuador, 78663, Colombia, 40238,United States of America, 8595,Chile, 5302
Paraguay, 195884, Brazil, 111355,Argentina, 50447,Other South, 5461
Peru, 65025, Argentina, 8122,United States of America, 7050,Chile, 5138
Uruguay, 98116, Spain, 34478,Italy, 15780,Argentina, 14559
venezuela, 1025009, Colombia, 555578,Spain, 109078,Portugal, 71582
Canada, 4333318, United Kingdom of Great Britain and Northern Ireland, 688691,Italy, 337392,United States of America, 238998
Australia, 3955213, United Kingdom of Great Britain and Northern Ireland, 1111203,New Zealand, 298309,Italy, 271095
New Zealand, 518047, United Kingdom of Great Britain and Northern Ireland, 227889,Australia, 47778,Samoa, 42264
Fiji, 13283, India, 1443,Other South, 1434,Bangladesh, 1368
