"Gender Inequality Index (GII)"
"46","Croatia","0.279"," a","0.206","..","0.164","..","0.137","..","0.136","..","0.131","..","0.126","..","0.120","..","0.143","..","0.149","..","0.124",".."
"73","Cuba","0.428"," a","0.394","..","0.341","..","0.328","..","0.322","..","0.318","..","0.312","..","0.309","..","0.307","..","0.301","..","0.301",".."
"32","Cyprus","0.340"," a","0.258","..","0.140","..","0.126","..","0.133","..","0.132","..","0.130","..","0.114","..","0.111","..","0.085","..","0.085",".."
"27","Czechia","0.252"," a","..","..","0.153","..","0.135","..","0.133","..","0.132","..","0.137","..","0.137","..","0.133","..","0.129","..","0.124",".."
"170","C�te d'Ivoire","0.706"," a","..","..","0.690","..","0.681","..","0.670","..","0.670","..","0.666","..","0.668","..","0.666","..","..","..","..",".."
"11","Denmark","0.102"," a","0.076","..","0.064","..","0.050","..","0.047","..","0.045","..","0.042","..","0.042","..","0.042","..","0.040","..","0.040",".."
"94","Dominican Republic","0.570"," a","0.484","..","0.470","..","0.465","..","0.491","..","0.445","..","0.481","..","0.475","..","0.468","..","0.452","..","0.451",".."
"86","Ecuador","0.584"," a","0.488","..","0.452","..","0.418","..","0.421","..","0.415","..","0.401","..","0.395","..","0.387","..","0.379","..","0.385",".."
"115","Egypt","0.665"," a","0.633","..","0.580","..","..","..","..","..","0.577","..","..","..","..","..","..","..","0.450","..","0.449",".."
"121","El Salvador","0.527"," a","0.521","..","0.489","..","0.440","..","0.440","..","0.417","..","0.410","..","0.405","..","0.395","..","0.393","..","0.392",".."
"30","Estonia","0.387"," a","0.282","..","0.213","..","0.158","..","0.163","..","0.157","..","0.153","..","0.156","..","0.137","..","0.128","..","0.122",".."
"144","Eswatini (Kingdom of)","0.642"," a","0.656","..","0.616","..","0.570","..","0.566","..","0.561","..","0.580","..","0.576","..","0.573","..","0.570","..","0.569",".."
"173","Ethiopia","..","..","..","..","0.611","..","0.572","..","0.566","..","0.561","..","0.549","..","0.537","..","0.509","..","0.502","..","0.502",".."
"92","Fiji","0.494"," a","..","..","0.409","..","..","..","..","..","..","..","..","..","0.363","..","0.352","..","0.353","..","0.352",".."
"15","Finland","0.101"," a","0.085","..","0.088","..","0.071","..","0.067","..","0.065","..","0.063","..","0.061","..","0.061","..","0.058","..","0.058",".."
"24","France","0.220"," a","0.192","..","0.157","..","0.124","..","0.122","..","0.108","..","0.107","..","0.104","..","0.104","..","0.100","..","0.083",".."
"110","Gabon","0.622"," a","0.611","..","0.589","..","0.555","..","0.554","..","0.549","..","0.547","..","0.545","..","0.542","..","0.537","..","0.534",".."
"174","Gambia","0.757"," a","0.748","..","0.658","..","0.663","..","0.659","..","0.655","..","0.651","..","0.637","..","0.634","..","0.628","..","0.623",".."
"70","Georgia","0.425"," a","0.422","..","0.388","..","0.421","..","0.419","..","0.381","..","0.378","..","0.374","..","0.373","..","0.350","..","0.350",".."
"5","Germany","0.156"," a","0.130","..","0.117","..","0.092","..","0.088","..","0.085","..","0.078","..","0.075","..","0.071","..","0.065","..","0.072",".."
"140","Ghana","0.628"," a","..","..","0.574","..","0.572","..","0.569","..","..","..","0.552","..","0.551","..","0.550","..","0.547","..","0.538",".."
